               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.018361,            0.038642,           0.0084123,             0.96412,             0.94792,             0.97353,             0.78609,            0.015863,            0.041325,           0.0052237,            0.001189,            0.001189,            0.001189
                  91,             0.01825,            0.038245,           0.0082058,             0.96337,             0.94645,             0.97188,             0.78209,            0.015908,             0.04118,             0.00617,             0.00109,             0.00109,             0.00109
                  92,            0.018107,            0.038176,           0.0078462,              0.9587,             0.95337,             0.97223,             0.78223,            0.015926,            0.041242,           0.0060614,            0.000991,            0.000991,            0.000991
                  93,            0.018273,            0.038598,           0.0078692,             0.97039,             0.94602,             0.97207,              0.7859,            0.015769,            0.041264,            0.005963,            0.000892,            0.000892,            0.000892
                  94,            0.017835,            0.037027,           0.0077899,             0.96612,             0.94986,             0.97239,             0.78321,            0.015777,            0.041313,           0.0054031,            0.000793,            0.000793,            0.000793
                  95,              0.0178,            0.037469,           0.0078684,             0.96304,             0.94968,             0.97264,             0.78334,            0.015833,            0.041211,           0.0056602,            0.000694,            0.000694,            0.000694
                  96,            0.017733,             0.03744,           0.0081355,             0.96454,             0.94764,             0.97222,             0.78369,            0.015771,            0.041153,            0.005072,            0.000595,            0.000595,            0.000595
                  97,            0.017829,            0.038562,           0.0074687,             0.96677,             0.94954,             0.97302,             0.78454,              0.0158,            0.041237,           0.0049234,            0.000496,            0.000496,            0.000496
                  98,            0.017575,            0.037126,           0.0077302,             0.96381,             0.95084,             0.97298,             0.78488,            0.015815,            0.041242,           0.0050267,            0.000397,            0.000397,            0.000397
                  99,             0.01762,             0.03784,           0.0074263,             0.96526,             0.94686,             0.97273,             0.78428,            0.015786,            0.041306,           0.0054235,            0.000298,            0.000298,            0.000298
